pg_id,title,author,year,fictionality,language,pages
61378,"Joyce, the man, the work, the reputation [by] Marvin Magalaner and Richard M. Kain.","Magalaner, Marvin, 1920-2004.",1956,0,eng,377.0
57277,"A dreamer's tales,","Dunsany, Edward John Moreton Drax Plunkett, Baron, 1878-1957.",1919,0,eng,
41134,The white rose of Memphis: a novel.,"Falkner, William Clark, 1825-1889.",1909,1,eng,526.0
53534,Josephine E. Butler : an autobiographical memoir / edited by George W. and Lucy A. Johnson ; with introduction by James Stuart.,"Butler, Josephine Elizabeth Grey, 1828-1906.",1909,0,eng,318.0
52056,The mysteries of London: containing stories of life in the modern Babylon.,"Reynolds, George W. M. 1814-1879.",1980,0,eng,256.0
39245,Quodlibet : containing some annals thereof / by Solomon Secondthoughts [pseud.],"Kennedy, John Pendleton, 1795-1870.",1872,0,eng,268.0
3959,"A romance of youth, by François Coppée. Crowned by the French academy. With a preface by José de Heredia, and illustrations by N. Briganti.","Coppée, François, 1842-1908.",1908,0,eng,
29425,"The confessions of a caricaturist, by Harry Furniss ...","Furniss, Harry, 1854-1925.",1901,0,eng,
36811,"The hour will come; a tale of an Alpine cloister, by Wilhelmine von Hillern. From the German by Clara Bell.","Hillern, Wilhelmine von, 1836-1916.",1880,0,eng,2.0
27911,"The giraffe hunters; a sequel to ""The bush boys"" & ""The young yagers"", by Captain Mayne Reid.","Reid, Mayne, 1818-1883.",1904,1,eng,2.0
67999,Caen et Bayeux.,"Prentout, Henri, 1867-",1921,0,fre,2.0
44886,The geography of Strabo / with an English translation by Horace Leonard Jones ; based in part upon the unfinished version of John Robert Sitlington Sterrett.,Strabo.,1983,0,eng,
62286,Kachina dolls.,"Hunt, W. Ben 1888-1970.",1958,0,eng,
12688,Wänrikki Stoolin tarinat. Suomenos.,"Runeberg, Johan Ludvig, 1804-1877.",1867,0,und,
60518,"Military architecture in England during the middle ages, by A. Hamilton Thompson ... illustrated by 200 photographs, drawings, and plans.","Thompson, A. Hamilton 1873-1952.",1912,0,eng,384.0
14201,The golden scarecrow / by Hugh Walpole.,"Walpole, Hugh, Sir, 1884-1941.",1915,1,eng,303.0
20529,Belles and ringers : a novelette / by Hawley Smart.,"Smart, Hawley, 1833-1893.",1881,1,eng,226.0
51248,The library of entertainment; a thousand hours of enjoyment with the world's great writers.,"Stoddard, John L. 1850-1931,",1918,0,eng,
50607,"Katherine Lauderdale, by F. Marion Crawford.","Crawford, F. Marion 1854-1909.",1911,0,eng,500.0
69909,Cork; a short survey of the attractions and holiday facilities of Cork city and county.,Irish Tourist Association.,1932,0,eng,
39781,"Cape of storms; a novel, by Percival Pollard.","Pollard, Percival, 1869-1911.",1900,1,eng,264.0
72836,Une nuit.,"Bernanos, Georges, 1888-1948.",1928,1,fre,
31488,"The little regiment, by Stephen Crane.","Crane, Stephen, 1871-1900.",1896,1,eng,
28447,A treatise of schemes and tropes (1550) : and his translation of The education of children by Desiderius Erasmus / by Richard Sherry ; a facsimile reproduction with an introduction and index by Herbert W. Hildebrandt.,"Sherry, Richard, approximately 1506-approximately 1555.",1961,0,eng,238.0
4377,"Mrs. Wiggs of the cabbage patch; a dramatization in three acts, by Anne Crawford Flexner, from the novel, ""Mrs. Wiggs of the cabbage patch"" by Alice Hegan Rice ..","Flexner, Anne Crawford, 1874-1955.",1928,0,eng,
63600,Una excursión a los indios ranqueles; Edic y pról. de C. A. Leumann.,"Mansilla, Lucio Victorio, 1831-1913.",1962,0,spa,254.0
4533,The hermit and the wild woman : and other stories ; Ethan Frome / by Edith Wharton.,"Wharton, Edith, 1862-1937",1914,1,eng,421.0
62741,"The Jim Crow car, or, Denouncement of injustice meted out to the black race Supreme Court decision by His Lordship Bishop H.M. Turner, largely quoted and elucidated, clippings from Miss Ida B. Wells Barnett's ""The reason why"", grave state of affairs in the Southern States, incidents on railroads, public conveyances, employment, etc. / by J.C. Coleman.","Coleman, J. C. b. 1876",1898,0,eng,
2561,Robert Falconer.,"MacDonald, George, 1824-1905.",1890,0,eng,524.0
70789,Le bol de chine;,"Mille, Pierre, 1864-1941.",1920,0,fre,
60038,Great men as prophets of a new era.,"Hillis, Newell Dwight, 1858-1929.",1968,0,eng,221.0
67925,The poems of Percy Bysshe Shelley / edited with notes by C.D. Locock; with an introduction by A. Clutton-Brock.,"Shelley, Percy Bysshe, 1792-1822.",1911,0,eng,
14313,One of the 28th; a tale of Waterloo. With 8 full-page illus. W. H. Overend.,"Henty, G. A. 1832-1902.",1908,1,eng,352.0
40684,The American horsewoman / by Mrs. Elizabeth Karr.,"Karr, Elizabeth",1884,0,eng,324.0
44389,"Ikuinen taistelu; näytelmä, kirjotti Johannes Linnankoski [pseud.] ...","Linnankoski, Johannes, 1869-1913",1905,0,fin,218.0
39604,Burlesques : Novels by eminent hands; Jeames's diary; Adventures of Major Gahagan; A legend of the Rhine; Rebecca and Rowena; The history of the next French revolution; Cox's diary; Yellowplush papers; Fitzboodle papers; The wolves and the lamb; The Bedford Row conspiracy; A little dinner at Timmins; The fatal boots; Little travels / By William Makepiece Thackeray ; with illustrations by the author and Richard Doyle.,"Thackeray, William Makepeace, 1811-1863.",1880,1,eng,814.0
52881,Joyful wisdom. With an introd. by Kurt F. Reinhardt. [Translated by Thomas Common. Poetry versions by Paul V. Cohn and Maude D. Petre],"Nietzsche, Friedrich Wilhelm, 1844-1900.",1960,0,eng,370.0
43147,A world of girls : the story of a school / by L.T. Meade.,"Meade, L. T., 1854-1914.",1910,0,eng,
3694,"Every man in his humour. A comedy; (altered from Ben Jonson) by David Garrick. With prefatory remarks ... with the stage business, and stage directions, as it is performed at the Theatres Royal. By W. Oxberry, comedian.","Jonson, Ben, 1573?-1637.",1822,0,eng,1.0
48163,The Pennycomequicks : a novel / by S. Baring-Gould.,"Baring-Gould, S. 1834-1924.",1889,1,eng,
70433,"The floral symbolism of the great masters, by Elizabeth Haig.","Haig, Elizabeth.",1913,0,eng,292.0
69198,"A bird of passage. : By B.M. Croker, ... In three volumes.","Croker, B. M. d. 1920.",1887,0,eng,
638,An outcast of the islands : Almayerʹs folly : a story of an Eastern River / Joseph Conrad ; with an introduction by Oliver Warner.,"Conrad, Joseph, 1857-1924.",1914,0,eng,384.0
43110,Tell me a story / by Ennis Graham [i.e. M. Molesworth].,"Molesworth, Mrs., 1839-1921.",1875,1,eng,
43498,"Flora Adair, or, Love works wonders / by A.M. Donelan.","Donelan, A. M.",1867,1,eng,
24249,"Heine's Harzreise / edited with English notes, etc. by C.A. Buchheim.","Heine, Heinrich, 1797-1856.",1900,0,ger,134.0
61586,"The poetical works of Thomas Traherne, B.D., 1636?-1674, now first published from the original manuscripts; ed. by Bertram Dobell, with a memoir of the author ....","Traherne, Thomas, -1674.",1906,0,eng,
24764,The world peril of 1910.,"Griffith, George Chetwynd.",1907,0,eng,6.0
41161,La vida en los campos : novelas cortas / Giovanni Verga ; La traducción del italiano ha sido hecho por C. Rivas Cherif.,"Verga, Giovanni, 1840-1922.",1920,0,spa,163.0
5260,"A duet, with an occasional chorus / by A. Conan Doyle, author of Uncle Bernac, A Memory of the empire, Rodney Stone, the exploits of Brigadier Gerard, the Stark Munro letter, Round the red lamp, etc.","Doyle, Arthur Conan, 1859-1930.",1916,1,eng,336.0
34647,Letters of a Javanese princess / by Raden Adjeng Kartini ; translated from the original Dutch by Agnes Louise Symmers ; with a foreword by Louis Couperus.,"Kartini, Raden Adjeng, 1879-1904.",1921,0,eng,310.0
41848,"With the Judeans in the Palestine campaign, by Lieut.-Colonel J.H. Patterson.","Patterson, J. H. 1867-1947.",1922,0,eng,
42345,"Children's stories in American history, by Henrietta Christian Wright.","Wright, Henrietta Christian, -1899.",1914,0,eng,356.0
30067,"Oeuvres complètes de Lord Byron, avec notes et commentaires, comprenant ses mémoires publiés par Thomas Moore ... Traduction nouvelle par Paulin Paris .","Byron, George Gordon Byron, Baron, 1788-1824.",1831,0,fre,
67386,A preliminary dissertation on the mechanism of the heavens / by Mrs. Somerville.,"Somerville, Mary, 1780-1872.",1832,0,eng,
39549,The carved lions.,"Molesworth, Mrs., 1839-1921.",1895,0,eng,195.0
62530,"Adventures in thrift, by Anna Steese Richardson; illustrated by Charles S. Corson.","Richardson, Anna Steese.",1916,0,eng,4.0
8600,Lʹassommoir / Émile Zola.,"Zola, Émile, 1840-1902.",1970,1,fre,574.0
56958,L'umorismo / Luigi Pirandello ; prefazione di Gino & Michele ; postfazione di O.d.B,"Pirandello, Luigi, 1867-1936",1993,0,ita,174.0
56948,An autumn sowing / by E. F. Benson ...,"Benson, E. F. 1867-1940.",1918,1,eng,336.0
31250,Old Plymouth trails / by Winthrop Packard.,"Packard, Winthrop, 1862-1943.",1920,0,eng,351.0
68871,Lettres intimes à l'Amazone.,"Gourmont, Remy de, 1858-1915.",1927,0,fre,305.0
5443,Uarda : Roman aus dem alten Aegypten / mit Bildern von Richard Mahn.,"Ebers, Georg, 1837-1898.",1904,0,ger,
15547,"The life of Robert Louis Stevenson for boys and girls,","Overton, Jacqueline Marion, 1887-",1927,0,eng,6.0
47041,Trionfi di donna; (novelle).,"Panzini, Alfredo, 1863-1939.",1903,1,ita,
27996,The free lances : a romance of the Mexican valley / by the late Captain Mayne Reid.,"Reid, Mayne, 1818-1883.",1888,1,eng,324.0
48340,Reden an die deutfche nation / von Johann Gottlieb Fichte. Mit einer einleitung und unmerfungen von Dr. M. Kronenberg.,"Fichte, Johann Gottlieb, 1762-1814.",1923,0,ger,233.0
48816,Big game shooting / by Clive Phillips-Wolley.,"Phillips-Wolley, Clive, Sir.",1903,0,eng,
52478,Die Novellen um Claudia.,"Zweig, Arnold, 1887-1968.",1912,1,ger,3.0
3562,"Private memoirs of Napoleon Bonaparte, during the periods of the directory, the consulate, and the empire. By M. de Bourrienne, private secretary to the emperor.","Bourrienne, Louis Antoine Fauvelet de, 1769-1834.",1831,0,eng,
15982,"Woman as she should be / by Hubbard Winslow. Also, Woman in her social and domestic character / by Mrs. John Sandford.","Winslow, Hubbard, 1799-1864.",1838,0,eng,175.0
12956,History of Indian philosophy. Introd. by Leo Gabriel. Translated from original German into English by V. M. Bedekar.,"Frauwallner, Erich, 1898-1974.",1974,0,eng,
47493,"Fort Pulaski National Monument, Georgia / by Ralston B. Lattimore.","Lattimore, Ralston B.",1954,0,eng,55.0
32910,With Wolseley to Kumasi : a tale of the first Ashanti war / by Captain F. S. Brereton ... illustrated by Gordon Browne.,"Brerton, Frederick Sadleir, 1872-",1908,0,eng,
28593,When dreams come true : a story of emotional life / by Edgar Saltus.,"Saltus, Edgar, 1855-1921.",1894,0,eng,187.0
29916,"Gomez Arias : oder, die Mauren der Alpujarren ; ein historischer Roman / von Don Telesforo de Trueba y Cosia ; Aus dem Englischen frei übersetzt von Gustav Sellen.","Trueba y Cosío, Joaquín Telesforo de, 1799?-1835.",1829,1,ger,
49773,uvres comple  tes de Gustave Flaubert.,"Flaubert, Gustave, 1821-1880.",1910,0,fre,
48999,The Boy Scouts of the signal corps / by Robert Shaler.,"Shaler, Robert.",1914,0,eng,
45887,Homes and haunts of the British poets.,"Howitt, William, 1792-1879.",1894,0,eng,
24591,"Experiments upon magnesia alba, quicklime, and some other alcaline substances / By Joseph Black ... (1755).","Black, Joseph, 1728-1799.",1898,0,eng,46.0
54243,Demoniality / Lodovico Maria Sinistrari ; translated from the Latin with an introduction and notes by Montague Summers.,"Sinistrari, Ludovico Maria, 1622-1701.",1989,0,eng,127.0
5502,Serapis; historischer roman.,"Ebers, Georg, 1837-1898.",1885,0,ger,
48548,Remarks on the practice and policy of lending Bodleian printed books and manuscripts.,"Chandler, Henry W. 1828-1889.",1887,0,eng,66.0
4120,"Diary of Sam'l Pepys, with notes by Richard Lord Braybrooke and with numerous portraits.","Pepys, Samuel, 1633-1703.",1889,0,eng,
60749,"A thousand-mile walk to the Gulf,","Muir, John, 1838-1914.",1916,0,eng,
70357,"The Jumano Indians, by Frederick Webb Hodge.","Hodge, Frederick Webb, 1864-1956.",1910,0,eng,22.0
3856,"Secret memoirs of the court of Louis XIV and of the regency / by the Duchesse d'Orléans, mother of the regent.","Orléans, Charlotte-Elisabeth, duchesse d', 1652-1722.",1905,0,eng,
66327,The sun of Saratoga ...,"Altsheler, Joseph A. 1862-1919.",1906,0,eng,313.0
19851,More Tish / by Mary Roberts Rinehart.,"Rinehart, Mary Roberts, 1876-1958.",1921,1,eng,280.0
26138,"Observations of an American soldier during his service with the A.E.F. in France, in the flash ranging service; by Private Edward Alva Trueblood.","Trueblood, Edward Alva.",1919,0,eng,3.0
37075,Cours familier de littérature : un entretien par mois / par m. A. de Lamartine.,"Lamartine, Alphonse de, 1790-1869.",1869,0,fre,
33479,"The opium monopoly, by Ellen N. La Motte.","La Motte, Ellen N. 1873-1961.",1920,0,eng,84.0
31248,A little garrison ; a realistic novel of German army life of today.,"Bilse, Fritz Oswald, 1878-1951.",1904,0,eng,
45006,"The prophet Joseph Smith's views on the powers and policy of the government of the United States : to which is appended the correspondence between the Prophet Joseph Smith and the Hons. J.C. Calhoun and Henry Clay, candidates for the presidency of the United States in 1844.","Smith, Joseph, Jr., 1805-1844.",1886,0,eng,
55920,"Journal of a tour made in the years 1828-1829, through Styria, Carniola, and Italy, whilst accompanying the late Sir Humphry Davy.","Tobin, J. J.",1832,0,eng,
29061,Relación historial de las misiones de indios chiquitos que en el Paraguay tienen los padres de la Compañía de Jesús / Juan Patricio Fernández ; presentación y notas por Daniel J. Santamaría.,"Fernández, Juan Patricio, 1661-1733.",1994,0,spa,
54715,Nights with the gods.,"Reich, Emil, 1854-1910.",1908,1,eng,225.0
3917,Serge Panine (Serge Panine),"Ohnet, Georges, 1848-1918.",1905,0,eng,3.0
17395,"The book of art for young people, by Agnes Ethel Conway and Sir Martin Conway; with sixteen full-page illustrations in colour.","Conway, Agnes Ethel, b. 1885.",1914,0,eng,
11665,Collections and recollections.,"Russell, George William Erskine, 1853-1919.",1903,0,eng,
25206,Rollo's philosophy. <Air.> ...,"Abbott, Jacob, 1803-1879",1865,0,eng,
64804,"What became of the slaves on a Georgia plantation? Great auction sale of slaves, at Savannah, Georgia, March 2d & 3d, 1859. A sequel to Mrs. Kemble's journal.","Doesticks, Q. K. Philander, 1831-1875.",1863,0,eng,
9594,The works of John Greenleaf Whittier.,"Whittier, John Greenleaf, 1807-1892.",1894,0,eng,
41332,Ten thousand a-year / by Samuel Warren.,"Warren, Samuel, 1807-1877.",1989,0,eng,437.0
56757,Kloka Maja och andra berättelser.,"Hedberg, Frans, 1828-1908.",1908,0,swe,0.0
57982,España invertebrada; bosquejo de algunos pensamientos históricos.,"Ortega y Gasset, José, 1883-1955.",1922,0,spa,3.0
46509,A history of the Inquisition of Spain,"Lea, Henry Charles, 1825-1909",1966,0,eng,
30785,Dictionnaire raisonné de l'architecture française du XIe siècle / par M. Viollet-Le-Duc ...,"Viollet-le-Duc, Eugène-Emmanuel, 1814-1879.",1869,0,fre,
39909,"The last poems of Philip Freneau, edited by Lewis Leary.","Freneau, Philip Morin, 1752-1832.",1970,0,eng,136.0
47643,"Mary Lamb, by Mrs. Gilchrist.","Gilchrist, Anne Burrows, 1828-1885.",1889,0,eng,255.0
28488,"Tartuffe, histoire et structure.","Scherer, Jacques",1965,0,fre,124.0
5931,"The history of Don Quixote, by Cervantes.  The text edited by J. W. Clark, M.A., and a biographical notice of Cervantes by T. Teignmouth Shore, M.A.  Illustrated by Gustave Doré.","Cervantes Saavedra, Miguel de, 1547-1616.",1871,0,eng,737.0
68761,"Hearts to mend; a fantasy in one act, by Harry A. Overstreet.","Overstreet, H. A. 1875-1970.",1920,0,eng,28.0
65627,La ragione degli altri : commedia in tre atti / Luigi Pirandello.,"Pirandello, Luigi, 1867-1936.",1925,1,ita,161.0
56661,"Hacking through Belgium, by Edmund Dane.","Dane, Edmund",1914,0,eng,176.0
65652,"Joyce Kilmer, edited with a memoir by Robert Cortes Holliday. Two volumes in one.","Kilmer, Joyce, 1886-1918.",1940,0,eng,290.0
7382,"The life of the Rt. Hon. Sir Charles W. Dilke, bart., M. P., begun by Stephen Gwynn, M. p., completed and ed. by Gertrude M. Tuckwell ...","Gwynn, Stephen Lucius, 1864-1950.",1917,0,eng,
62772,"Berlins drittes Geschlecht : Mit einem Anhang : Paul Näcke, Ein Besuch bei den Homosexuellen in Berlin / Hrsg. und mit einem Nachwort versehen von Manfred Herzer.","Hirschfeld, Magnus, 1868-1935.",1991,0,ger,197.0
62297,The patchwork papers / by E. Temple Thurston.,"Thurston, E. Temple 1879-1933.",1911,0,eng,275.0
62674,Sári biró; vigjáték.,"Móricz, Zsigmond, 1879-1942.",1910,0,hun,
11602,The world of ice : the natural history of the frozen regions / Brian John.,"John, Brian Stephen.",1979,0,eng,120.0
19004,The customs of old England / by F. J. Snell.,"Snell, F. J. 1862-",1977,0,eng,312.0
68070,"Address of President Roosevelt at Canton, Ohio, September 30, 1907.","Roosevelt, Theodore, 1858-1919",1907,0,eng,29.0
37932,Le disilluse : fiaba / di baby (R. Bracco) ; musica di Mario Costa.,"Bracco, Roberto, 1861-1943,",1889,1,ita,32.0
65296,"Why we love Lincoln, by James Creelman ...","Creelman, James, b. 1859.",1909,0,eng,6.0
15570,"Paradise garden : paintings, drawings and poems / Sidney Nolan ; with introduction by Robert Melville","Nolan, Sidney, 1917-1992",1971,0,eng,109.0
